Id,area,end_date,lat,lon,ratiocci,start_date
20778153,997732876.926442,2017-07-30,47.20253088756144,-107.7755697705804,0.9755852398120132,2017-07-10
20778186,154983388.64919996,2017-09-12,46.69410244024619,-114.2272865792834,0.7501107076872215,2017-07-17
20901111,357192544.7590176,2017-09-05,45.861953363846965,-106.03441264014454,0.98570731648082,2017-08-28
20778225,101533766.41522382,2017-07-13,45.35860112037866,-106.61738261011688,0.9115250730171502,2017-07-07
20900131,200062117.92171547,2017-08-14,42.7185886435778,-112.58437717023963,0.9098759991931308,2017-08-04
20901127,302883456.61947155,2017-09-07,44.96367178217839,-106.44391983415824,0.9868616381473378,2017-08-31
20899892,179669649.07165012,2017-09-12,46.996258737463855,-121.4117616881094,0.735642504727047,2017-08-10
20777386,112696337.4657404,2017-07-08,46.58006646168329,-119.81595233632702,0.9491340213166228,2017-07-01
20900124,131371265.8571374,2017-08-16,42.87465058218748,-114.58567719968798,0.9483893582065772,2017-08-05
20900040,189114411.09567183,2017-08-06,43.42778246694766,-119.87897270987148,0.9800761283809364,2017-08-01
20899967,255014773.28491703,2017-08-25,44.96007644873632,-121.22769888763791,0.97048983169749,2017-08-09
20778140,429316706.7752948,2017-09-23,48.9335462983921,-120.3856924750789,0.8363722797861273,2017-07-20
20899673,227109453.12047723,2017-09-15,41.740296966837946,-123.6066697133268,0.8987777081395869,2017-08-08
20900085,103465910.56102118,2017-08-14,43.20311475464309,-114.12736754262988,0.8004535167213642,2017-08-04
20777397,151334286.9427691,2017-07-29,45.9671132043434,-116.79832966643882,0.98943839104704,2017-07-15
21038333,120638060.11051032,2017-09-15,45.59846216838896,-121.9327872659252,0.8409168027907005,2017-09-01
20899721,178381780.58035988,2017-09-14,41.412842092646486,-123.12771248923744,0.918478777978624,2017-08-12
20777134,649772442.3710865,2017-09-12,42.25147085012564,-124.0389226645526,0.9331713098407474,2017-07-23
20777152,112910388.05049697,2017-08-12,41.2792214602254,-121.01598851334204,0.9316210434058272,2017-07-26
20777459,133303384.06856038,2017-07-15,42.82788089266273,-115.65145210139649,0.9753613285643852,2017-07-10
20777452,101104487.56189354,2017-07-14,42.88723593872466,-114.42105409916536,0.9906976676998194,2017-07-10
20777160,283779093.8077033,2017-07-22,40.01159836006117,-119.91210160749628,0.9650845393884464,2017-07-10
20899813,104109616.57370472,2017-09-20,36.129444492310576,-118.699941408729,0.7865833323108253,2017-08-26
20777482,205428466.76757807,2017-07-10,41.75355518560045,-114.2698185667679,0.9379966895473412,2017-07-05
20777487,516898278.36209846,2017-07-20,41.45878452429105,-116.69964804565352,0.983383439288227,2017-07-13
20777521,126863383.98069556,2017-07-25,40.2037465515056,-112.64514176566624,0.9495321312992936,2017-07-16
20777181,320914988.120985,2017-07-27,37.57472251780111,-120.11836397974857,0.962698030549148,2017-07-16
20899766,335082490.1178636,2017-09-08,40.29223668279344,-119.39456166063653,0.9746258374335032,2017-08-29
21158900,125790265.61664546,2017-10-20,39.33388393765442,-123.20623718446365,0.8931450441516046,2017-10-04
20777195,195124775.69507813,2017-07-22,35.960915861348575,-120.310032454888,0.9820276359687028,2017-07-08
20777203,118491796.85685782,2017-07-15,34.97286917289264,-120.27609449962064,0.9300881892695771,2017-07-07
20702159,260381054.73640093,2017-07-14,37.76403814118726,-112.7012686306931,0.8085450788279369,2017-06-17
20777166,124931202.84093273,2017-07-10,39.59535681764431,-119.53782921567172,0.9651534938238592,2017-07-03
20777163,371789004.0311786,2017-07-08,39.77805024853967,-119.18531645866491,0.982216729861066,2017-07-02
21158940,135020548.45518306,2017-10-25,38.37522321952477,-122.4693875410875,0.8333280615376094,2017-10-06
21158932,105826749.51976933,2017-10-20,38.55196245162863,-122.67977814566878,0.8638387549661609,2017-10-06
21158939,180313877.12084147,2017-10-22,38.37865419762287,-122.23434434545894,0.9267558730214468,2017-10-06
20777508,764614640.6617087,2017-07-16,40.94623724301435,-116.62818267650552,0.9945455546274008,2017-07-10
20777207,137381274.5632233,2017-07-13,34.17733211780249,-112.02363000899224,0.9034968513873998,2017-07-05
20700973,116774365.91275184,2017-07-01,34.38735840304398,-112.3188952597562,0.9271770702033688,2017-06-22
20562846,157989117.8419469,2017-05-01,31.80687990353912,-110.6737135638438,0.7367112931937816,2017-04-23
20701026,174946657.69988915,2017-07-02,32.72072767569092,-109.8650129521582,0.9408736140879153,2017-06-08
20568194,557468023.531865,2017-05-16,30.62848381140472,-82.28671717525754,0.8786959933763774,2017-04-08
