Id,area,end_date,lat,lon,ratiocci,start_date
24463187,131371415.39443624,2020-09-04,47.32326719478381,-106.83965201145692,0.7754264943538446,2020-09-01
24333277,113340196.80677228,2020-09-06,45.84954851020946,-106.13097149632638,0.9790728478638714,2020-08-31
24333270,116130894.87790604,2020-09-10,46.31557685567488,-108.37380571662756,0.9581458610549805,2020-08-31
24333279,205215214.89436656,2020-09-10,45.66898712431424,-107.02110425234495,0.956865754725337,2020-08-31
24461328,551887102.2444583,2020-09-28,41.94263951521548,-123.5000670404874,0.8716941545643353,2020-09-04
24461320,121069018.45118882,2020-09-20,42.53119413053564,-122.69868962444616,0.9190701877230526,2020-09-04
24332880,268967281.8907331,2020-09-08,46.83959042325502,-120.64714235690852,0.9169551152184556,2020-08-26
24462610,485987295.4068945,2020-09-30,43.36656557312985,-122.93784701357684,0.9111438569920391,2020-09-03
24462263,547379090.232841,2020-09-29,45.10961104769878,-122.23106501849924,0.703864757416767,2020-09-03
24462488,654064371.9928943,2020-09-29,44.14989280760344,-122.48230206445936,0.8519726451685772,2020-09-03
24332628,3708873673.607657,2020-10-20,39.91095291367908,-122.98013292566436,0.9830208346120418,2020-08-14
24332956,142962811.84015447,2020-09-01,43.91977126157663,-117.94160949914264,0.9820920691893676,2020-08-14
24191347,311040186.6231361,2020-08-02,41.731424536783024,-121.45423464262932,0.9265967830402336,2020-07-21
24461421,233978162.7997647,2020-10-03,40.43618816905508,-122.62399410703868,0.9343941031895984,2020-09-27
24462753,178595985.92027882,2020-09-27,42.61505481702005,-120.5676722242106,0.9442926757273618,2020-09-07
24462335,306103937.2558881,2020-09-28,44.73744911200609,-116.76795651462002,0.9684133174061736,2020-09-06
24461996,424810792.79047215,2020-09-11,47.61410454425497,-118.49429413254994,0.980434171834972,2020-09-02
24461899,1309848053.0362682,2020-09-24,48.041659400134606,-119.54354265941816,0.7660927516544573,2020-09-02
24332939,1396782699.1804588,2020-10-01,44.8061371576842,-122.14764772814364,0.7717253090202144,2020-08-19
24332592,294509538.4548564,2020-09-07,41.09488213623677,-120.08192575767916,0.9446584569862816,2020-08-15
24332608,359124070.38181704,2020-10-12,41.10374751050327,-123.39419610983204,0.9345395045763149,2020-08-23
24461771,460442886.1274136,2020-09-28,34.33060619491223,-117.93097450278194,0.8953343891120124,2020-09-04
24191393,112051734.09714007,2020-07-22,36.18021473403386,-120.56562053997472,0.975140175091863,2020-07-13
24332622,109261523.91066983,2020-09-07,40.32322144285628,-120.72641843279747,0.886960018754348,2020-08-18
24332704,102177567.0258084,2020-09-16,38.52348336765407,-119.56657527982428,0.8685006520168492,2020-08-29
24461607,235910050.41545677,2020-10-07,38.537666533299046,-122.54744755247673,0.96873513328962,2020-09-26
24332760,194266132.77910972,2020-08-27,36.479029560649614,-121.56347679738823,0.97583535887935,2020-08-17
24461623,1184701905.9298398,2020-10-11,37.30712717342375,-119.31304221788692,0.8732572925039962,2020-09-02
24332676,168936418.40292016,2020-08-21,39.70348536834347,-120.1117617897657,0.9661654555805176,2020-08-13
24332700,1126314966.6070096,2020-09-02,38.623244486310966,-122.24217860958834,0.9462076327208268,2020-08-13
24332764,494788477.3914871,2020-09-22,36.07479105231664,-121.4696624805644,0.931946725683967,2020-08-16
24332746,241491081.76341292,2020-09-01,37.14293025665211,-122.23649646730848,0.9428746119206866,2020-08-16
24332702,124716652.7790479,2020-08-27,38.61894329830734,-123.02143779739934,0.9707778824495396,2020-08-16
24332732,1438428339.4264133,2020-09-04,37.34094120378133,-121.43944335018584,0.9904417160187824,2020-08-12
24191376,194266022.77414623,2020-07-13,37.18391751025302,-114.6079338222722,0.9588847610294428,2020-07-03
24332763,603405518.1415024,2020-10-11,36.206517744428574,-118.53567790912112,0.8989406008901106,2020-08-20
24191418,141245473.68495125,2020-08-12,34.02467294762927,-116.85722644113189,0.9047137906009722,2020-07-31
24332787,132659209.64209346,2020-08-24,34.67678875409553,-118.55788751471395,0.7864365251699089,2020-08-11
24332647,1194361627.768254,2020-10-05,39.72474749550207,-121.2014899977086,0.9616673341508812,2020-08-15
24332783,149616945.60356247,2020-08-20,35.29118084055676,-115.58860648254,0.9724101339753805,2020-08-15
24462788,342810296.0683801,2020-09-28,42.225827726580725,-114.19938496763838,0.9115513684318464,2020-09-12
23860939,675530953.7788653,2020-04-12,38.45427204534645,-96.63213367861404,0.8423147843070075,2020-03-23
23861131,209292506.19165835,2020-04-17,37.32278106873124,-96.6037551068442,0.7217666595099168,2020-03-23
24462847,124716226.88157731,2020-10-08,40.72530318029639,-105.6780765507764,0.8797530306394082,2020-09-03
24333000,236983828.65370035,2020-09-27,40.5872040926238,-110.59347098430668,0.765665863323138,2020-08-22
24333039,532139687.8887522,2020-08-31,39.43254510226961,-108.54401182512515,0.8787678140075728,2020-08-01
24191427,197485742.76029927,2020-07-29,33.439711836338425,-110.2582682080205,0.9296918718480364,2020-07-12
24333033,105826727.78579482,2020-08-29,39.59725804295038,-107.20006805288205,0.812260454420009,2020-08-09
24332801,247931058.54361868,2020-08-30,33.528573729930486,-110.63492870052896,0.8855972590088589,2020-08-17
24103581,119565004.8636692,2020-06-15,33.49873807882364,-110.34967143761196,0.928602319343263,2020-06-06
24103557,259951669.73341396,2020-06-30,36.76627065037865,-112.23076615506196,0.9352602898512904,2020-06-09
24104631,131371780.1272086,2020-07-06,39.46767663708197,-112.23464695634638,0.7849169385796522,2020-06-25
24103611,444987232.7528516,2020-07-06,32.43712693311202,-110.75287325413078,0.8878503308311151,2020-06-05
24462819,680682663.1188492,2020-10-11,41.101639226390674,-106.28705412976096,0.9542473587347876,2020-09-17
24333012,219382468.89107463,2020-09-18,40.64093353353493,-105.6394922972191,0.9622215784034276,2020-08-31
24103571,813341150.3478637,2020-06-30,33.75892924517697,-111.36934273323112,0.9408672070930034,2020-06-12
23860978,418154960.5156693,2020-04-09,38.27190824289658,-96.39577222564938,0.7489415268638195,2020-03-16
23861018,223245186.5654973,2020-04-19,38.16419134450104,-96.6062490559211,0.7256009014211819,2020-03-20
